name,ontology_uri,description,parent_id
Cleanser,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Cleanser,"Produk untuk membersihkan wajah dari kotoran, minyak, dan sisa makeup.",
Eye Care,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/EyeCare,"Produk perawatan khusus untuk area sekitar mata, seperti krim atau serum.",
Lip Care,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/LipCare,"Produk untuk merawat bibir, seperti lip balm atau lip scrub.",
Moisturizer,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Moisturizer,Produk untuk melembapkan kulit dan menjaga keseimbangan kelembapan.,
Other,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Other,Kategori produk lainnya yang tidak termasuk dalam kategori spesifik.,
Set/Kit,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/SetKit,"Produk yang terdiri dari beberapa item dalam satu paket, seperti set perawatan kulit.",
Suncare,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Suncare,"Produk perawatan untuk melindungi kulit dari paparan sinar UV, seperti sunscreen.",
Treatment,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Treatment,"Produk yang dirancang untuk perawatan khusus, seperti serum atau ampoules.",
Cleansing Balm,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/CleansingBalm,Balm pembersih yang digunakan untuk menghapus makeup dan kotoran dengan lembut.,1
Cleansing Cream,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/CleansingCream,Krim pembersih wajah yang membersihkan tanpa mengeringkan kulit.,1
Cleansing Oil,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/CleansingOil,Minyak pembersih untuk mengangkat makeup dan kotoran dari kulit.,1
Cleansing Wipes,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/CleansingWipes,Tisu pembersih yang praktis digunakan untuk membersihkan wajah di perjalanan.,1
Face Wash,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/FaceWash,Sabun wajah yang membantu mengangkat kotoran dan minyak berlebih.,1
Make Up Remover,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/MakeUpRemover,Produk yang dirancang untuk menghapus makeup secara efektif.,1
Micellar Water,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/MicellarWater,Air pembersih yang mengandung micelles untuk menarik kotoran dan makeup tanpa membilas.,1
Eye Cream,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/EyeCream,Krim perawatan khusus untuk area mata yang dapat mengurangi kantung mata dan garis halus.,2
Eye Mask,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/EyeMask,Masker mata untuk menenangkan dan mengurangi pembengkakan.,2
Eye Serum,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/EyeSerum,Serum perawatan mata yang membantu mengurangi lingkaran hitam dan kerutan.,2
Eyelash Serum,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/EyelashSerum,Serum untuk merangsang pertumbuhan bulu mata.,2
Lip Mask,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/LipMask,Masker bibir untuk menghidrasi dan merawat bibir kering.,3
Lip Balm,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/LipBalm,Balm bibir untuk melembapkan bibir yang kering.,3
Lip Scrub,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/LipScrub,Scrub bibir untuk mengangkat sel kulit mati dan menjaga bibir tetap lembut.,3
