name,actualFunctions,embeddedFunctions,functionalCategories,keyIngredientTypes,isKeyIngredient,suitableForSkinTypes,addressesConcerns,providedBenefits,usageInstructions,pregnancySafe,sensitivities,alcoholFree,fragranceFree,siliconeFree,sulfateFree,parabenFree,explanation,benefit,safety,alternativeNames,whatItDoes,url
Salicylic Acid,"Skin Conditioning, Preservative, Masking","Masking, Preservative, Skin Conditioning","Moisturizing, Protective, Sensory",BHA,Yes,"Dry,  Normal,  Oily,  Combination","Acne, Dryness, Large Pores, Oiliness","Hydrating, Exfoliating, Pore Minimizing, Barrier Repair","Evening use recommended, Start 2-3x per week, Always use SPF",Avoid during pregnancy,,Yes,Yes,Yes,Yes,Yes,"Asam salisilat (juga dikenal asbeta hidroksi acidorBHA) adalah salah satu bAHAn paling terkenal untuk merawat kulit yang berjuang dengan komedo dan jerawat. Ini membantu untuk mengelupas permukaan dan pori-pori kulit, dan juga bertindak sebagai agen anti-inflamasi. Properti multitasking ini menjadikannya bAHAn yang bagus untuk membersihkan pori-pori, mengendalikan produksi minyak, dan mengurangi peradangan. Tidak seperti AHAs yang larut dalam air, asam salisilat adalah larut minyak. Ini berarti bahwa ia dapat mengelupas bagian dalam pori-pori dan mengurangi Blackheads.concentrations sebesar 0.5-2%diakui oleh FDA A.S.",,"Can worsen Dry Skin Can worsen Dry Skin Some ingredients have the potential to dry out skin, especially in higher concentrations or for those with already dry or sensitive skin Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution See all 5,124 products with Salicylic Acid Users who like it 93% Users who avoid it 7% What it does Masking Obscuring or...","SALICYLIC ACID, salicylic acid, 200-712-3",MaskingObscuring or blockingPreservativeTending to preserve or capable of preserving.Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/salicylic-acid
Niacinamide,Smoothing,Smoothing,"Treatment, Sensory",Niacinamide,Yes,Normal,Redness,"Softening, Texture Improvement",,Generally safe,,Yes,Yes,Yes,Yes,Yes,"Niacinamide adalah bentuk multitasking vitamin B3 yang memperkuat penghalang kulit, mengurangi pori -pori dan bintik -bintik gelap, mengatur minyak, dan meningkatkan tanda -tanda penuaan. Dan bagian terbaiknya? Ini lembut dan ditoleransi dengan baik oleh sebagian besar jenis kulit, termasuk kulit yang sensitif dan reaktif. Anda mungkin pernah mendengar tentang ""flush niacin"", atau kemerAHAn kulit yang menyebabkan gatal. Niacinamide belum ditemukan menyebabkan hal ini. Dalam kasus yang sangat jarang, beberapa orang mungkin tidak dapat mentolerir Niacinamide sama sekali atau mengalami reaksi alergi terhadapnya. Jika Anda mengalami pengelupasan, iritasi, dan kekeringan dengan bAHAn ini...","The anti-inflammatory and oil-regulating properties help improve acne. | 4% niacinamide was shown to perform slightly better than 1% clindamycin gel in one study. | it has shown to be an effective acne treatment when used withcopper,folic acid, andzinc.","They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person It's gentle and well-tolerated by most skin types, including sensitive and reactive skin However, if you have sensitive skin, it is better to begin with a smaller concentration","Vitamin B3Nicotinamide3-Pyridinecarboxamide, Vitamin B3, Nicotinamide, 3-Pyridinecarboxamide, Prevalence","SmoothingTo smooth a surface, to remove roughness",https://skinsort.com/ingredients/niacinamide
Hyaluronic Acid,"Moisturising, Skin Conditioning, Humectant","Humectant, Moisturising, Skin Conditioning",Moisturizing,Hyaluronic Acid,Yes,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Generally safe,,Yes,Yes,Yes,Yes,Yes,"Asam hyaluronic secara alami ditemukan di kulit yang sehat. Ini adalah humektan, artinya menarik kelembaban pada kulit Anda. BAHAn ini membantu melembabkan, menenangkan, dan melindungi kulit. Apa yang membuat asam hialuronat begitu melembabkan? Ini memiliki kapasitas untuk mengikat atau menampung air dalam jumlah besar. Fakta Fun: Ini sudah secara alami ditemukan di tubuh kita, seperti cairan mata kita dan persendian kita. Studi menemukan bAHAn ini memiliki sifat anti-inflamasi dan anti-mikroba. Ini dapat membantu mempercepat penyembuhan luka. Asam Hyaluronic dapat mengiritasi jika molekul memiliki berat molekul rendah, atau jika molekulnya sedikit...",,"These are some other common types of Hyaluronic Acid: Sodium Hyaluronate Hydrolyzed Hyaluronic Acid Sodium Hyaluronate Crosspolymer See all 4,841 products with Hyaluronic Acid Users who like it 98% Users who avoid it 2% What it does Humectant A substance that promotes retention of moisture","Hyaluronan, Prevalence, Somewhat common, Percentage of products that contain it, HYALURONIC ACID",HumectantA substance that promotes retention of moisture.MoisturisingTo add or restore moistureSkin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/hyaluronic-acid
Retinol,Skin Conditioning,Skin Conditioning,Moisturizing,Others,Yes,"Dry,  Normal",Dryness,"Hydrating, Anti-aging, Barrier Repair","Evening use recommended, Start 1-2x per week, Always use SPF",Avoid during pregnancy,,Yes,Yes,Yes,Yes,Yes,"Retinol adalah bAHAn standar emas untuk anti-penuaan. Ini adalah bentuk vitamin A dan termasuk dalam kelas retinoid yang juga termasuk resretinoin. Mengapa Retinol terkenal? Ini memiliki studi paling ilmiah yang mencadangkan manfaat kulitnya dari semua bAHAn non-resep yang lebih baik dari sel-sel yang lebih tinggi dari fibroblast yang lebih tinggi dari clagenreve yang lebih tinggi dari elastin yang lebih tinggi dari elastin. Retinol efektif dalam menghilangkan kerutan, memudar bintik -bintik gelap, merawat jerawat, dan mengurangi penampilan pori -pori. Studi menunjukkan Retinol adalah le...",,"Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution Read about Tretinoin See all 1,511 products with Retinol Users who like it 95% Users who avoid it 5% What it does Skin Conditioning To hydrate and soften skin Alternative names Vitamin A Prevalence Uncommon Percentage of products that contain it 1","Vitamin A, Prevalence, Uncommon, Percentage of products that contain it, RETINOL",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/retinol
Ceramide EOP,Skin Conditioning,Skin Conditioning,Moisturizing,Ceramides,Yes,"Dry,  Normal","Dryness, Sensitivity","Hydrating, Softening, Barrier Repair",,Generally safe,,Yes,Yes,Yes,Yes,Yes,"Ceramide EOP adalah jenis Ceramide. EOP adalah singkatan dari asam lemak linkedestersester, asam lemak linkedomegahydroxy, dan theFytospHingosineBase.Ceramides adalah lipid antar sel yang ditemukan secara alami di kulit kita. Mereka mengikat sel -sel kulit mati bersama -sama untuk menciptakan penghalang. Ceramides di kulit kita memiliki kemampuan menAHAn air agar kulit kita tetap terhidrasi. Beramida adalah blok bangunan penting untuk penghalang kulit kita. Penghalang kulit yang kuat membantu dengan: menjaga agar kulit mengencangkan yang dihapuskan kulit terhadap bAHAn -bAHAn yang mengiritasi peradangan jika Anda ingin makan Ceramides, ubi jalar mengandung...",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person Read more about other common types of ceramides here: Ceramide AP Ceramide NP See all 1,765 products with Ceramide EOP Users who like it 99% Users who avoid it 1% What it does Skin Conditioning To hydrate and soften skin Alternative names 2-Stearoyloxyheptacosamide Stearoyl...","2-StearoyloxyheptacosamideStearoyloxyheptacosanoyl-C18-PhytosphingosineStearoyloxyheptacosanoyl-4-Hydroxysphinganine, 2-Stearoyloxyheptacosamide, Stearoyloxyheptacosanoyl-C18-Phytosphingosine, Stearoyloxyheptacosanoyl-4-Hydroxysphinganine, Prevalence",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/ceramide-eop
Water,"Skin Conditioning, Solvent","Skin Conditioning, Solvent","Moisturizing, Formulation",Others,No,"Dry,  Normal",Dryness,"Hydrating, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Air. Ini adalah bAHAn kosmetik yang paling umum. Anda biasanya akan melihatnya di bagian atas daftar bAHAn, artinya merupakan bagian terbesar dari produk. Jadi mengapa begitu populer? Air paling sering bertindak sebagai pelarut - ini berarti membantu melarutkan bAHAn -bAHAn lain ke dalam formulasi. Anda juga akan mengenali air sebagai cairan yang kita semua butuhkan untuk tetap hidup. Jika Anda melihat ini, minum segelas air. Tetap terhidrasi!",,"See all 67,932 products with Water Users who like it 99% Users who avoid it 1% What it does Skin Conditioning To hydrate and soften skin Solvent Capable of dissolving another substance","Aqua, Prevalence, Extremely common, Percentage of products that contain it, WATER",Skin ConditioningTo hydrate and soften skinSolventCapable of dissolving another substance.,https://skinsort.com/ingredients/water
Panthenol,Skin Conditioning,Skin Conditioning,Moisturizing,Panthenol,Yes,"Dry,  Normal","Dryness, Sensitivity","Hydrating, Soothing, Barrier Repair",,Generally safe,,Yes,Yes,Yes,Yes,Yes,Panthenol adalah bAHAn umum yang membantu melembabkan dan menenangkan kulit. Ditemukan secara alami di kulit dan rambut kita. Ada dua bentuk Panthenol: D dan L.D-panthenol juga dikenal sebagai dexpanthenol. Sebagian besar kosmetik menggunakan dexpanthenol atau campuran D dan L-panthenol.Panthenol terkenal karena kemampuannya untuk masuk lebih dalam ke lapisan kulit. Menggunakan bAHAn ini memiliki banyak pro (dan tidak ada kontra): Jaga agar kulit tetap lembab dengan iritasi dan peradangan dengan penghalang kulit yang sehat.,,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 16,508 products with Panthenol Comedogenic Rating 0 Irritancy Rating 0 Users who like it 99% Users who avoid it 1% What it does Skin Conditioning To hydrate and soften skin Alternative names Pro-Vitamin B5 Pantothenol Dexpanthenol Prevalence Somewhat common Percenta...","Pro-Vitamin B5PantothenolDexpanthenol, dexpanthenol, Pro-Vitamin B5, Pantothenol, Dexpanthenol",Skin ConditioningTo hydrate and soften skin,https://skinsort.com/ingredients/panthenol
Glycerin,"Skin Protecting, Skin Conditioning, Solvent, Humectant","Humectant, Skin Conditioning, Skin Protecting","Moisturizing, Protective, Formulation",Others,No,"Dry,  Normal",Dryness,"Hydrating, Protecting, Barrier Repair",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Gliserin sudah ditemukan secara alami di kulit Anda. Ini membantu melembabkan dan melindungi kulit Anda. Sebuah studi dari 2016 menemukan gliserin lebih efektif sebagai asam thanAHAsandhyaluronic yang humektan. Sebagai humektan, ini membantu kulit tetap terhidrasi dengan menarik kelembaban ke kulit Anda. Berat molekul rendah gliserin memungkinkannya menarik kelembaban ke lapisan kulit Anda yang lebih dalam. Kulit yang dihidrasi meningkatkan penghalang kulit Anda; Penghalang kulit Anda membantu melindungi terhadap iritasi dan bakteri. Gliserin juga ditemukan memiliki sifat antimikroba dan antivirus. Karena sifat -sifat ini, gliserin sering digunakan...",,"See all 54,411 products with Glycerin Comedogenic Rating 0 Irritancy Rating 0 Users who like it 98% Users who avoid it 2% What it does Humectant A substance that promotes retention of moisture","Vegetable GlycerinGlycerineGlycerol, Vegetable Glycerin, Glycerine, Glycerol, Prevalence",HumectantA substance that promotes retention of moisture.Skin ConditioningTo hydrate and soften skinSkin ProtectingTo keep skin from being damaged to a certain degreeSolventCapable of dissolving another substance.,https://skinsort.com/ingredients/glycerin
Centella Asiatica Extract,"Skin Conditioning, Smoothing, Tonic, Soothing, Cleansing","Cleansing, Skin Conditioning, Smoothing","Moisturizing, Cleansing, Treatment, Sensory, Specialized",Others,No,"Dry,  Normal,  Oily,  Combination","Acne, Dryness, Sensitivity, Oiliness, Redness","Hydrating, Cleansing, Soothing, Softening, Oil Control, Barrier Repair, Texture Improvement",,Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Ekstrak Centella asiatica (Centella) berasal dari ramuan yang berasal dari Asia Tenggara. Ini terkenal dengan sifat anti-inflamasi dan menenangkannya. Centella kaya akan antioksidan dan asam amino, seperti asidekasicasic asidandasiaticoside. Studi menunjukkan senyawa dalam centella membantu dengan penambAHAn aktivitas yang melindungkan aktivitas dengan kerusakan aktivitas ualuronat dari kerusakan dari UV dengan mencegah inflamasi. Kolagen dengan meningkatkan produksi fibroblast kombinasi semua sifat ini membuat Centella efektif di...",,"They can be especially helpful for soothing sensitive or reactive skin, but how well they work can vary from person to person See all 5,800 products with Centella Asiatica Extract Users who like it 98% Users who avoid it 2% What it does Cleansing To free from dirt, contamination, or impurities Skin Conditioning To hydrate and soften skin Smoothing To smooth a surface, to remove roughness Soothing ...","Gotu KolaTiger GrassIndian Pennywort, Gotu Kola, Tiger Grass, Indian Pennywort, Prevalence","CleansingTo free from dirt, contamination, or impuritiesSkin ConditioningTo hydrate and soften skinSmoothingTo smooth a surface, to remove roughnessSoothingHaving a calming, assuaging, or relieving effectTonicUsed remove soap residues and moisturize",https://skinsort.com/ingredients/centella-asiatica-extract
Glycolic Acid,Buffering,Buffering,Formulation,AHA,Yes,Normal,,"Exfoliating, Texture Improvement","Evening use recommended, Start 2-3x per week, Always use SPF",Consult healthcare provider,,Yes,Yes,Yes,Yes,Yes,"Asam glikolat bisa dibilang AHA yang paling terkenal dengan banyak penelitian untuk mendukung manfaatnya. Peran utamanya adalah untuk menghilangkan lapisan atas sel -sel kulit mati, memungkinkan sel -sel kulit yang lebih baru muncul. Secara khusus, AHA bekerja dengan memecah ""lem struktural"" yang memegang sel -sel kulit lama di tempat. Menyingkirkan sel -sel kulit lama memungkinkan kulit untuk meregenerasi sel -sel kulit yang lebih baru di tempatnya. Sebuah penumpukan sel -sel kulit mati dapat menyebabkan kulit yang lelah dan kusam.",,"Because rosacea-prone skin can be especially reactive, it’s best to approach new products with caution Read more about some other popular AHA's here: Citric Acid Lactic Acid Malic Acid Mandelic Acid See all 2,609 products with Glycolic Acid Users who like it 94% Users who avoid it 6% What it does Buffering Buffering ingredients help stabilise or adjust the ph level of a product","GLYCOLIC ACID, 201-180-5, All Functions, Buffering",BufferingBuffering ingredients help stabilise or adjust the ph level of a product.,https://skinsort.com/ingredients/glycolic-acid
