name,ontology_uri,description
acne,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Acne,"Masalah kulit berupa jerawat yang biasanya disebabkan oleh produksi minyak berlebih, pori-pori tersumbat, atau infeksi bakteri."
wrinkles,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Wrinkles,"Garis halus atau kerutan pada kulit, biasanya akibat penuaan, paparan sinar matahari, atau kurangnya kelembapan."
fine_lines,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/FineLines,"Garis-garis halus yang muncul di wajah seiring bertambahnya usia, sering terlihat di sekitar mata dan bibir."
dark_spots,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/DarkSpots,"Bercak gelap pada kulit yang dapat disebabkan oleh hiperpigmentasi, sering akibat paparan sinar matahari."
dryness,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Dryness,"Kondisi kulit yang kekurangan kelembapan, menyebabkan kulit terasa kering, kasar, dan mudah mengelupas."
oiliness,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Oiliness,"Kondisi kulit yang menghasilkan minyak berlebih, sering terjadi pada kulit berminyak dan rentan terhadap jerawat."
sensitivity,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Sensitivity,"Kulit yang mudah teriritasi atau merah, sering kali reaktif terhadap produk atau perubahan cuaca."
redness,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Redness,"Kemerahan pada kulit yang bisa disebabkan oleh peradangan, iritasi, atau kondisi kulit tertentu seperti rosacea."
pores,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Pores,"Pori-pori kulit yang membesar atau tampak jelas, sering terjadi pada kulit berminyak."
dullness,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Dullness,"Kulit yang terlihat kusam dan kurang bercahaya, sering kali akibat kekurangan hidrasi atau penumpukan sel kulit mati."
texture,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Texture,"Kondisi kulit yang tidak rata, bisa disebabkan oleh bekas jerawat, pori-pori besar, atau paparan sinar matahari."
dark_undereyes,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/DarkUndereyes,"Lingkaran hitam di bawah mata, sering kali disebabkan oleh kurang tidur, genetika, atau penuaan."
fungal_acne,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/FungalAcne,"Jenis jerawat yang disebabkan oleh infeksi jamur pada kulit, biasanya terjadi pada daerah yang lembap."
eczema,http://www.semanticweb.org/msilaptop/ontologies/2025/4/skincareOntology/Eczema,"Kondisi kulit yang menyebabkan kulit meradang, gatal, dan kering. Dapat dipicu oleh alergi atau stres."
